Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit
American Express,American Express,347727665254926,Ronnie T Bullock,9796,07/2008,07/2019,10,0565,106500
Visa,Citibank,4318284486558769,Otis R Lyle,017,07/2008,07/2019,17,9230,133400
Master Card,GE Capital,5166498753052708,Linda Bradford,732,10/2014,10/2020,6,4573,195400
Master Card,Bank of America,5154438997127274,Dierdre Q Minter,339,10/2017,10/2036,28,3908,187000
American Express,Bank of America,341581350335482,Jerry K Sosa,7493,05/2010,05/2029,21,1689,142800
Diners Club International,Diners Club,30494548686228,Sammy D Vetter,504,07/2017,07/2035,14,5364,43800
Visa,USAA,4571490479501334,Marilyn T Brooks,051,05/2015,05/2028,21,0158,73400
Discover,Discover,6575379459400313,Andree P Tucker,280,02/2014,02/2019,3,7694,61900
Japan Credit Bureau,JCB,3563254804221451,Ruth T Estrada,628,03/2013,03/2014,16,1213,138200
Diners Club International,Diners Club,30043909239828,Blake D Berg,814,04/2010,04/2024,21,6648,104500
Master Card,Bank of America,5318094660212902,Robin B Avery,530,05/2014,05/2018,27,9238,178600
American Express,American Express,375770171934776,Markus K Birmingham,7791,04/2016,04/2031,21,4155,72600
Master Card,Capital One,5298865297614238,Leroy Gibbs,429,04/2010,04/2020,23,3218,125100
Diners Club International,Diners Club,30287199514107,Deloris Appleton,608,08/2015,08/2025,15,8966,135000
Japan Credit Bureau,JCB,3543566576719270,Donald H Hickman,597,07/2016,07/2033,4,9787,161200
Master Card,Bank of America,5175756877764642,Joshua Guardado,343,06/2010,06/2028,21,2502,140000
Diners Club International,Diners Club,38520153597698,Mario Z Maddox,253,06/2013,06/2028,12,0700,114500
American Express,USAA,373057507802279,Helaine U Roesch,9094,04/2011,04/2013,4,1454,19000
Discover,Discover,6011514564299547,Jim Massey,118,05/2008,05/2016,9,0019,49400
Master Card,Chase,5230261780897954,Moises C Oneil,889,03/2011,03/2016,17,1211,191500
Japan Credit Bureau,JCB,3588451887035284,Shawn P Levine,499,04/2009,04/2012,5,8852,99100
Master Card,Chase,5411907826521187,Randell I Crutcher,221,01/2011,01/2013,7,6658,75500
Japan Credit Bureau,JCB,3528141135467941,Loretta Hancock,421,10/2014,10/2029,7,7927,86200
American Express,U.S. Bancorp,373215009494645,Troy Y Branton,4634,07/2007,07/2011,14,9433,80100
Master Card,Citibank,5352224454509646,Evelyn B Conley,501,10/2015,10/2027,25,0847,103800
Master Card,Chase,5242907897910215,Shaunta T Kephart,811,02/2013,02/2029,13,3185,147000
Japan Credit Bureau,JCB,3576001795733704,Dale H Olsen,729,06/2008,06/2023,22,3308,43200
Japan Credit Bureau,JCB,3547650970633455,Hilton R Avant,197,04/2011,04/2013,11,0900,122600
Master Card,Bank of America,5348948504941717,Yvonne R Sutton,468,12/2008,12/2010,21,6116,93300
Master Card,Capital One,5133402920859391,Garland Dore,989,05/2015,05/2024,9,0867,65600
American Express,American Express,346928428774496,Cheryl Y Maxwell,1431,05/2012,05/2025,9,2298,103000
Japan Credit Bureau,JCB,3571820491654962,Marlon Nurse,588,02/2009,02/2019,21,0329,163400
Japan Credit Bureau,JCB,3552660720245304,James U Shannon,873,07/2008,07/2026,27,1132,118100
Diners Club International,Diners Club,30562556242645,Dewey Back,580,03/2010,03/2021,4,8408,167300
Discover,Discover,6011045481114782,Tony Logan,519,08/2015,08/2030,18,4402,77700
Discover,Discover,6011084561741016,Esteban L Lally,088,07/2012,07/2026,25,2330,17700
Master Card,Chase,5292692796885820,Mary Kinney,853,08/2012,08/2025,21,2691,127000
Discover,Discover,6501356237675597,Olinda Y House,380,08/2008,08/2023,14,3550,142100
Diners Club International,Diners Club,39102143205648,Charlie H Hines,416,01/2007,01/2010,20,2026,196200
American Express,American Express,375531340826818,Terry L Brannan,9474,08/2016,08/2027,5,2812,151200
Diners Club International,Diners Club,30516726695249,Lorraine I Calderon,379,11/2016,11/2031,8,3690,17800
Master Card,Bank of America,5367720168093754,Jadwiga Q Poindexter,746,02/2008,02/2019,23,5722,23300
Master Card,Bank of America,5109509754976180,Matthew H Ewing,785,12/2012,12/2013,9,2506,37900
Discover,Discover,6584642579069550,Erich M Yount,154,05/2016,05/2028,6,2888,126800
Discover,Discover,6451397534822383,Lawrence B French,250,01/2012,01/2021,7,1413,115600
Visa,Chase,4523269942756975,Kraig O Ivey,848,01/2007,01/2017,1,1198,83500
Visa,U.S. Bancorp,4413697066060175,Paula H Franks,139,02/2013,02/2031,5,2642,175100
Discover,Discover,6011406936652059,Nelson P Mccary,223,12/2016,12/2019,2,5284,140500
Japan Credit Bureau,JCB,3568375385396274,Beverly H Douglas,115,02/2014,02/2023,14,8309,177400
Visa,U.S. Bancorp,4078192963698844,Kassandra N Morehouse,592,03/2016,03/2031,27,0756,17700
Japan Credit Bureau,JCB,3538094523847232,Larry W Mcleod,455,12/2007,12/2008,27,5729,61200
Visa,Chase,4396513872938168,Chad V Anton,039,06/2007,06/2009,10,3243,132600
Visa,Chase,4451628885810717,Barry X Stephens,162,10/2015,10/2021,20,5275,155800
Discover,Discover,6011500621174161,Sterling C Hesse,976,10/2010,10/2021,7,9830,75100
Diners Club International,Diners Club,36267142981755,Kyle P Odonnell,112,04/2013,04/2028,9,1086,148800
Diners Club International,Diners Club,36344259713576,Stasia Z Crosby,870,10/2013,10/2023,24,1931,88600
Visa,Chase,4639455919885837,Lori Z Murphy,029,01/2011,01/2031,25,7436,59300
Japan Credit Bureau,JCB,3572460803618287,Faustino U Mahon,086,11/2009,11/2017,8,1171,147100
Visa,Capital One,4929210144092173,Carl Goodwin,419,05/2007,05/2009,28,6088,62400
Discover,Discover,6011671861628222,Shamika Borja,771,12/2007,12/2021,23,2345,196000
American Express,American Express,343233837034803,Jeffery Kline,6115,12/2015,12/2025,10,2427,50200
Master Card,Citibank,5413374366757556,Conchita Z Burnell,027,06/2013,06/2033,24,9999,43800
Diners Club International,Diners Club,30376888726401,Kathryn Beard,101,11/2011,11/2021,11,0701,51400
Japan Credit Bureau,JCB,3576747746704109,Berna Mcvay,466,03/2012,03/2026,15,7718,98700
American Express,American Express,372163268011943,Lillian B Rice,7706,10/2011,10/2028,22,1174,20000
Visa,Chase,4956127494731745,Hai R Meraz,372,06/2010,06/2024,7,1661,197600
Diners Club International,Diners Club,39570672959209,Ashley V Grimes,508,04/2013,04/2019,12,4507,18600
Diners Club International,Diners Club,30515710921025,Nathan Almonte,181,02/2015,02/2027,24,2425,100500
Visa,U.S. Bancorp,4204038674047143,Robin F Wyatt,493,06/2008,06/2015,21,1175,162600
Diners Club International,Diners Club,30564732060230,Aida Howell,095,11/2011,11/2019,19,1787,133500
American Express,American Express,379425857185864,Ellen K Cleveland,7752,09/2011,09/2021,13,6240,117000
Diners Club International,Diners Club,30177641106448,Brian M Helton,052,01/2013,01/2021,9,3392,133900
Discover,Discover,6011082912543180,Paula Y Levy,467,01/2008,01/2010,4,2282,74500
Master Card,U.S. Bancorp,5278110902307439,Daina Enright,651,04/2008,04/2010,18,8948,29100
Discover,Discover,6011681269528890,Esther V Fletcher,783,09/2015,09/2033,15,5814,64100
American Express,U.S. Bancorp,377333441071032,Leila R Paris,6796,09/2009,09/2013,5,3997,108000
Visa,Citibank,4518833689713684,Douglas X Waller,905,08/2011,08/2024,8,4981,182900
Japan Credit Bureau,JCB,3556567102458155,Homer N Cyrus,642,11/2007,11/2015,1,9809,39400
Japan Credit Bureau,JCB,3543660372388446,Kevin Y Wallace,987,03/2015,03/2029,1,8859,23900
Master Card,Barclays,5221759221723052,Anderson D Rumsey,842,05/2016,05/2020,1,0481,113100
Diners Club International,Diners Club,30974387589344,Brian D Sanford,082,07/2013,07/2014,25,1174,181200
Visa,USAA,4953703800841197,Clair Z Mcclellan,651,07/2009,07/2025,27,6788,51300
Japan Credit Bureau,JCB,3530649568013905,Bobby V Torres,539,06/2010,06/2026,8,3745,15700
Diners Club International,Diners Club,30433069973920,Francisco S Darnell,473,09/2008,09/2019,11,0854,103100
Master Card,Chase,5438366090721420,Glenn S Mcfarland,298,08/2013,08/2016,19,7462,171900
Visa,Capital One,4822793209055092,Eloy Z Smalley,508,09/2017,09/2024,7,8210,53900
Diners Club International,Diners Club,30929775190675,Jorge Bentley,659,02/2014,02/2029,19,1121,131100
Japan Credit Bureau,JCB,3577237891995941,Russ R Jacobs,346,04/2015,04/2016,19,6296,195600
Visa,First National,4990567031100979,Leonard V Mcconnell,370,10/2017,10/2036,19,0922,147200
Japan Credit Bureau,JCB,3589019287467099,Errol W Bowlin,440,05/2014,05/2024,27,0966,177800
Diners Club International,Diners Club,30570060822968,Victoria Stein,832,03/2012,03/2031,25,5941,37700
American Express,American Express,344180893384813,Orville Hartshorn,6086,06/2014,06/2034,13,5071,68600
Diners Club International,Diners Club,30381766675399,Cindy W Wagner,060,01/2010,01/2016,14,7393,86800
Japan Credit Bureau,JCB,3558059624819161,Marcella Pride,398,09/2008,09/2018,5,5667,20600
Visa,Chase,4266927985000533,Carlos Phillips,471,11/2010,11/2028,10,1997,51700
Diners Club International,Diners Club,30564224365006,Shirley G Demers,580,01/2016,01/2034,25,8927,116100
Japan Credit Bureau,JCB,3562493545126675,Audrey Atkinson,437,06/2017,06/2019,3,2254,103300
Master Card,Wells Fargo,5405662385997595,Blair Crittenden,024,02/2011,02/2023,5,4301,111300
American Express,American Express,372859310308852,Stephanie U Nieves,4038,12/2011,12/2031,4,8951,166400
Discover,Discover,6011243831945811,Wilton T Prewitt,518,08/2012,08/2023,8,2005,180000
Visa,Bank of America,4310030358754566,Edward Sosa,163,06/2014,06/2022,17,3706,65600
Diners Club International,Diners Club,30455093234771,Kelli Grosso,009,05/2016,05/2032,19,0388,190300
Visa,Bank of America,4765571681165533,Esther X Jacobs,631,03/2016,03/2017,26,1863,79100
Discover,Discover,6224357080263305,Jody V Muro,863,12/2008,12/2013,10,2246,39800
Japan Credit Bureau,JCB,3567788958873092,Melanie J Strong,973,08/2009,08/2025,12,8553,28800
Visa,GE Capital,4606053803568061,Frederick Shah,284,08/2015,08/2032,12,1640,199000
Japan Credit Bureau,JCB,3571876727487775,Donna Miranda,866,01/2016,01/2031,6,3227,25600
Master Card,Wells Fargo,5401114373689291,Fausto X Wainwright,608,05/2016,05/2025,3,5294,140800
Discover,Discover,6011801218253867,Mark Hickman,918,07/2013,07/2019,20,0485,142700
Diners Club International,Diners Club,30002431650118,Tonia E Guertin,909,08/2016,08/2022,3,5112,175100
Discover,Discover,6228949861753987,Miguel Cherry,743,08/2009,08/2025,23,7500,141400
Master Card,Capital One,5395864631149177,Ralph Damron,949,04/2013,04/2021,15,0906,87600
Diners Club International,Diners Club,30040523584803,Laura C Donovan,966,10/2010,10/2017,26,0859,36700
American Express,American Express,344323878151522,Cleo L Bounds,7510,02/2017,02/2035,9,4864,197100
Visa,Chase,4345348124070516,Maurice Norton,590,03/2010,03/2023,23,8131,61500
Master Card,USAA,5420504378337036,Josephina C Crumpler,859,11/2013,11/2023,3,1856,37700
American Express,American Express,346681865790596,Barbara Little,8190,04/2008,04/2027,24,1976,153400
Master Card,USAA,5401641071129683,Brad Cooksey,731,03/2009,03/2018,25,2110,184200
American Express,U.S. Bancorp,343850953074071,Julia L Blackburn,2274,01/2014,01/2018,9,7097,86500
Japan Credit Bureau,JCB,3568599633079362,Dyan Noonan,412,07/2016,07/2020,26,5342,50500
American Express,American Express,343095819275625,Bryan K Sanders,3857,12/2012,12/2013,15,2868,88400
Discover,Discover,6011768159643887,Particia B Haney,620,07/2013,07/2026,18,7883,126000
Master Card,Capital One,5222167349277291,Roberta X Reed,566,01/2017,01/2021,27,6930,117500
Visa,Chase,4928243325360433,Janessa A Rivers,151,11/2015,11/2033,22,6891,55200
Japan Credit Bureau,JCB,3529671783345204,Kevin Murphy,628,09/2011,09/2024,25,7577,18900
Master Card,Bank of America,5213907444677825,Frederick Frith,352,06/2012,06/2013,27,8184,168200
Japan Credit Bureau,JCB,3585381630466796,Joanne F Hogan,311,12/2017,12/2023,6,5249,157300
Japan Credit Bureau,JCB,3543337250004698,Rutha R Spearman,124,03/2012,03/2021,20,6769,55200
Japan Credit Bureau,JCB,3577827971235927,Wayne F Hull,041,04/2016,04/2024,5,5934,88900
Discover,Discover,6011933382860076,Clair E Violette,314,11/2008,11/2024,1,1641,175800
Japan Credit Bureau,JCB,3579346725860193,Kathy I Kim,436,12/2013,12/2028,9,1795,99600
Japan Credit Bureau,JCB,3571697110863293,Ira I Johnston,240,04/2010,04/2019,18,8882,190800
Visa,USAA,4950597049057505,Irene L Bruce,838,12/2016,12/2035,1,6844,31900
Visa,GE Capital,4878854890270193,Thomas X Creek,326,08/2011,08/2015,4,9665,104600
American Express,American Express,342572118375117,Steve O Alvarez,8462,02/2008,02/2015,6,7957,136200
Japan Credit Bureau,JCB,3531588203254525,Laticia Mccool,120,12/2013,12/2019,7,2186,88700
Master Card,Citibank,5487642525991626,Janice G Dunlap,127,08/2012,08/2023,12,4064,172100
Discover,Discover,6011678222778463,Jolanda Y Cartier,875,01/2013,01/2023,9,9110,40000
American Express,U.S. Bancorp,370910248774632,Rick N Vincent,8256,02/2007,02/2017,23,8807,70800
Master Card,Bank of America,5453687762679301,Lorrine Hammons,095,07/2011,07/2014,12,4591,159900
American Express,Bank of America,346051027163480,Diana K Campos,4307,04/2013,04/2026,7,4488,191200
Japan Credit Bureau,JCB,3530329738494141,Sherika P Gehrke,926,06/2011,06/2016,28,7420,92600
American Express,American Express,376674667714842,Brian A Bentley,3743,02/2017,02/2029,15,7628,10800
Visa,Chase,4022063448562698,Melia F Callihan,702,05/2009,05/2010,13,9369,93700
Diners Club International,Diners Club,30187039633119,Bobby E Coleman,769,11/2007,11/2008,25,8924,35000
Master Card,Wells Fargo,5261487507512285,Adelle M Cropper,705,11/2013,11/2025,5,0295,152000
Discover,Discover,6011163041371790,Heather Y Simon,765,04/2010,04/2020,1,2950,156800
American Express,American Express,378246122405031,Terry S Lau,6880,02/2017,02/2032,25,4061,61000
Diners Club International,Diners Club,30344680956717,Howard Z Ferguson,896,03/2007,03/2023,27,5379,106100
Diners Club International,Diners Club,30002447879115,Shelia Bilbrey,242,07/2007,07/2009,25,1843,68000
Visa,PNC,4985148024281527,Herbert M French,026,11/2011,11/2024,8,8075,68500
American Express,U.S. Bancorp,372770708047251,Misha Q Nagel,8812,03/2007,03/2013,13,1880,63200
Japan Credit Bureau,JCB,3577742560986634,Craig Q Cole,474,07/2009,07/2012,21,4836,173800
Diners Club International,Diners Club,39684819441946,Shante Moua,930,02/2011,02/2019,14,7234,69200
Discover,Discover,6472990415191541,Debbie Q Fowler,645,04/2014,04/2033,21,3116,70200
Visa,Citibank,4025860098751514,Kris Hamlett,707,03/2008,03/2012,5,5619,90500
Visa,Chase,4014361239532577,Dale Puckett,215,06/2014,06/2031,9,9540,42600
Discover,Discover,6011242990665665,Mckinley U Montiel,823,01/2012,01/2026,23,7861,88600
Master Card,Citibank,5497066273797308,Sarah P Dudley,666,12/2008,12/2010,1,9519,41400
Diners Club International,Diners Club,30403483429452,Alisia N Towne,067,04/2014,04/2026,27,4058,135800
American Express,American Express,377781722009198,Vivian K Puckett,7184,06/2010,06/2018,9,3776,77700
Master Card,Barclays,5126223619423888,Aura W Gainer,174,09/2007,09/2025,27,8992,88100
Japan Credit Bureau,JCB,3555528327642164,Karen L Flowers,282,06/2013,06/2023,14,7103,156600
American Express,American Express,347010080144133,Ron N Folks,6247,12/2017,12/2018,7,0869,67700
Diners Club International,Diners Club,30988132848326,Kristen S Vincent,111,06/2009,06/2013,23,7152,67600
American Express,American Express,372608600169254,Clelia Elmore,8912,12/2007,12/2018,22,9931,48600
Japan Credit Bureau,JCB,3536997123010872,Jose U Benjamin,036,03/2007,03/2023,10,3585,151600
American Express,American Express,371331169472453,Corine Y Ogburn,8818,08/2010,08/2011,25,6025,120300
Diners Club International,Diners Club,30031804829686,Jorge A Macdonald,121,12/2016,12/2018,12,0379,34800
Master Card,Chase,5376721077588602,Sidney E Mcgann,797,04/2007,04/2018,13,6670,199600
Japan Credit Bureau,JCB,3537223263909735,Allen Schmidt,912,01/2013,01/2016,26,6615,158200
Diners Club International,Diners Club,30233003627081,Maris K Sabo,250,02/2013,02/2017,14,9701,100000
Master Card,Bank of America,5165081823092572,Willie Jacobson,192,04/2017,04/2036,22,3552,144100
American Express,American Express,342278869021369,Buddy L Laurent,9806,11/2014,11/2021,8,7045,154100
Master Card,Bank of America,5457091268192792,Earl S Gardner,566,04/2014,04/2025,6,8305,65700
Visa,First National,4413311747800807,Ramon V Cardwell,906,02/2007,02/2019,21,8685,161200
Master Card,USAA,5267748387725691,Josephine U Lynn,944,08/2015,08/2031,1,6934,87000
Discover,Discover,6011820170080431,Jared V Mcnew,498,07/2012,07/2023,20,8396,183600
Discover,Discover,6011413129624465,Wayne N Guthrie,782,12/2015,12/2024,14,2262,70000
Visa,Chase,4889082032028447,Long H Schuller,491,07/2007,07/2011,6,5283,107700
American Express,American Express,340156138495857,Dale W Vargas,1659,12/2017,12/2018,24,4233,36000
Discover,Discover,6011271382794072,Damon C Lansing,606,03/2011,03/2016,23,7720,67800
American Express,American Express,376618248451606,Laurie I Nolan,7704,03/2015,03/2026,16,3118,130600
Visa,PNC,4093336633463417,Guy Tanguay,753,10/2013,10/2027,5,8723,73400
Visa,Chase,4142222613198960,Peggy Q Hammond,313,06/2007,06/2024,17,8388,124300
Discover,Discover,6011584581061303,Queen Louis,114,01/2013,01/2021,20,4331,84400
Japan Credit Bureau,JCB,3577605383406157,Joshua T Higgins,557,01/2017,01/2018,23,8562,44400
Master Card,GE Capital,5134623742149872,Tashia P Quimby,847,09/2013,09/2027,1,9065,109100
Diners Club International,Diners Club,30445747383215,Jose L Hoover,672,08/2015,08/2035,17,9845,163700
Diners Club International,Diners Club,30561633448290,Gary R Dann,708,10/2008,10/2019,12,5011,144200
Diners Club International,Diners Club,30977940902102,Bruce Carrillo,525,07/2016,07/2033,23,3869,137800
Visa,Chase,4267389826248582,Bethann Nino,615,11/2014,11/2030,15,3604,197500
American Express,U.S. Bancorp,377279502546752,Christine E Sweeney,7798,10/2011,10/2028,22,7344,170600
Japan Credit Bureau,JCB,3536166810938478,Eboni C Linville,875,06/2012,06/2023,4,1669,115500
Diners Club International,Diners Club,39491772007288,Kelly Bass,742,09/2013,09/2019,5,8936,105800
Discover,Discover,6011848404600922,Jay D Heater,971,12/2008,12/2013,16,5779,125400
Discover,Discover,6011494115064668,Joshua Z Dennis,352,06/2010,06/2019,21,1193,178400
American Express,American Express,374404865813390,Darlene J Foran,4256,09/2014,09/2015,6,1499,194600
Visa,Chase,4214157631210889,Elsie F Sandoval,477,03/2012,03/2031,9,7809,178700
Visa,Chase,4506204096820468,Darryl L Norris,885,07/2011,07/2026,6,6575,164100
Japan Credit Bureau,JCB,3561201450194302,Brian T York,092,08/2012,08/2015,20,9059,98300
Visa,Chase,4275280247247107,Wava I Hendrix,237,04/2012,04/2025,28,9632,184700
Visa,Citibank,4322305220791343,Joe L Keith,886,03/2007,03/2021,2,0715,56100
Master Card,USAA,5353185970375466,Belva Huynh,019,06/2008,06/2017,21,8437,85800
American Express,American Express,345354169536344,Dean J Woodward,4723,01/2012,01/2019,28,4240,197400
Japan Credit Bureau,JCB,3585276276504282,Amee B Bridgeman,986,02/2012,02/2027,18,4298,151800
Visa,Chase,4717875516704344,Leo B Leonard,892,12/2009,12/2012,25,8594,169400
Master Card,Chase,5184580781242787,Beverlee O Bowler,832,02/2009,02/2015,8,1666,129600
Visa,Cabela’s WFB,4936903490511306,Francis G Rosa,949,01/2014,01/2021,18,6450,103600
Discover,Discover,6228754540903692,Katelin Y Elias,295,01/2010,01/2015,2,4477,178700
Diners Club International,Diners Club,30014706954570,Cheryl P Dillon,350,07/2017,07/2024,22,0132,139800
Japan Credit Bureau,JCB,3564053247802201,Cordie Krueger,632,04/2012,04/2024,11,3333,112600
Discover,Discover,6011135608249148,Peter Allen,838,11/2011,11/2027,9,5102,139200
Discover,Discover,6481171645597950,Minta V Wilk,251,05/2011,05/2013,11,0055,165600
Visa,Capital One,4462129388140519,Andrea Y Mendez,197,10/2013,10/2019,7,1289,136100
Visa,Bank of America,4366574513653273,Betsey L Pierson,812,12/2014,12/2030,1,8684,110800
American Express,American Express,377896615090061,Elaine E Hobbs,5179,08/2009,08/2028,11,5087,40900
Master Card,Capital One,5450030464927103,Paige Bingaman,212,02/2012,02/2017,11,4488,58700
Discover,Discover,6011117890287143,Tommy O Pitts,969,08/2009,08/2019,19,7331,188400
Japan Credit Bureau,JCB,3544024553113470,Lyndon H Hargrave,829,04/2014,04/2021,22,5043,45700
Master Card,Chase,5484661253294188,Teresa G Kramer,947,10/2007,10/2016,13,5056,198300
Master Card,Citibank,5387552966266779,Rosaria A Brasher,037,02/2012,02/2027,14,9947,127100
Discover,Discover,6514133684985711,Bobby Hines,054,05/2015,05/2034,18,7363,119700
American Express,American Express,349606524733015,Tillie X Devore,2754,07/2013,07/2020,8,8221,79900
Diners Club International,Diners Club,30443182437349,Christine R Walton,468,05/2008,05/2017,25,8199,88600
Master Card,Chase,5109029443226467,Merrie H Hower,672,12/2017,12/2022,20,4983,145200
Master Card,Bank of America,5338852341731418,Yolanda W Wagner,396,11/2007,11/2008,25,1358,95700
Diners Club International,Diners Club,36592575885482,Trey Angus,230,03/2013,03/2031,28,1423,108600
Discover,Discover,6225700216973033,Beatrice Q Head,654,06/2015,06/2031,18,5530,180300
Diners Club International,Diners Club,30990935539078,Lyle X Barraza,205,02/2011,02/2027,2,4680,144700
Japan Credit Bureau,JCB,3582431216370160,Ellen D Holman,745,10/2011,10/2015,6,9692,80900
Discover,Discover,6225110517787936,Jose N Godwin,018,05/2009,05/2024,2,6650,59800
Japan Credit Bureau,JCB,3570006681737913,Katie L Rice,588,08/2012,08/2020,16,1668,83300
Diners Club International,Diners Club,30554346633258,Kira L Cato,233,11/2012,11/2019,3,3311,72600
American Express,American Express,370368446247846,Anne R Whitney,9900,09/2012,09/2013,22,5168,103200
Diners Club International,Diners Club,30155395940873,Katherine Q Chidester,198,06/2015,06/2029,16,8610,52000
Discover,Discover,6011176479926836,Chris C Garza,460,01/2013,01/2015,21,3113,167100
Master Card,Chase,5465928816527781,Cathi E Foster,407,07/2007,07/2017,22,9494,67900
Master Card,Capital One,5436269634349553,Jesus F Cooke,808,10/2012,10/2030,17,7558,185400
Japan Credit Bureau,JCB,3565486588553125,Arleen Christianson,097,02/2017,02/2028,28,1123,28500
Master Card,Bank of America,5467095355406344,Anita M Whitney,709,02/2015,02/2025,1,9035,185700
Discover,Discover,6506764540398473,Lenora Hackett,596,03/2011,03/2019,12,3851,24700
Master Card,U.S. Bancorp,5195086059518475,Diane T Baldwin,940,02/2010,02/2014,10,0622,134500
Japan Credit Bureau,JCB,3532586690620371,Caterina Y Grams,312,05/2008,05/2026,26,6024,10200
Master Card,Citibank,5125197437255543,Brenda O Vasquez,572,07/2007,07/2014,2,4548,41300
Master Card,Capital One,5134220535415204,Ezekiel Lomeli,759,06/2015,06/2029,6,9161,153500
Japan Credit Bureau,JCB,3572242903255610,Wayne L Rowe,469,05/2014,05/2022,10,1649,138500
Master Card,Wells Fargo,5454552455272161,Kelly U Thiel,167,04/2011,04/2028,25,4575,14800
Master Card,Citibank,5350370802808115,April X Carney,881,02/2015,02/2017,11,6496,24500
Discover,Discover,6011626048808170,Ira B Hunter,520,02/2014,02/2024,20,3016,69600
American Express,American Express,370372000911854,Brenda S Hill,3830,02/2016,02/2021,24,3485,80500
American Express,American Express,342742931141836,Cleveland A Couch,8054,03/2009,03/2027,23,1365,25100
Diners Club International,Diners Club,30944165069173,Dorothy Norton,397,05/2010,05/2016,21,1733,152100
Diners Club International,Diners Club,30589847546625,Ocie Covey,473,04/2011,04/2017,17,2980,19500
Japan Credit Bureau,JCB,3577167757787142,Alfred Z Bradford,389,05/2016,05/2035,14,9062,40600
Japan Credit Bureau,JCB,3572872085432809,Yvone Taylor,820,12/2014,12/2027,5,0722,193000
Visa,Barclays,4075423241167887,Sue T Stone,317,01/2014,01/2034,24,7904,122600
Master Card,USAA,5410341692385116,Von K Paradis,182,01/2017,01/2031,24,4246,64400
Japan Credit Bureau,JCB,3531474013743512,Dawn Y Palmer,283,02/2010,02/2025,6,8431,84700
Diners Club International,Diners Club,36269769663633,Brendan A Canty,459,12/2007,12/2023,26,5614,141900
Diners Club International,Diners Club,30112649145833,June Higgins,530,11/2009,11/2021,6,6725,79300
Diners Club International,Diners Club,30947968911947,Whitney Garica,438,09/2007,09/2023,1,9787,71000
Diners Club International,Diners Club,30032586403880,Jonathan R Francis,159,10/2011,10/2012,1,8296,101800
Visa,PNC,4313076472718919,Mathew Z Flanders,236,08/2016,08/2024,11,9061,27200
American Express,American Express,372238361694975,Raymond T Simpson,2655,11/2016,11/2029,7,9767,90900
Master Card,Chase,5427324902289436,Amal Q Hepburn,075,11/2012,11/2018,26,3017,130600
Diners Club International,Diners Club,38527446298190,Phillip A Cleveland,237,10/2012,10/2017,16,4039,67700
American Express,American Express,340150278720182,Nona Homes,1702,04/2008,04/2024,11,8035,123300
Visa,Bank of America,4608731995371950,Leroy E Rivers,686,08/2017,08/2025,21,6735,59000
Master Card,Bank of America,5396886589689572,Arnulfo E Bateman,188,07/2008,07/2022,8,2944,74600
Diners Club International,Diners Club,30357578486605,Ronald A Rich,662,07/2011,07/2016,10,4258,167100
Master Card,Chase,5494699164027469,Barney T Sudduth,078,07/2011,07/2024,22,9870,77900
Master Card,Bank of America,5426757839020302,Ryan Raymond,685,12/2009,12/2026,12,6251,54300
Discover,Discover,6011487653721426,Cleo Grillo,003,11/2009,11/2019,25,1832,178900
Japan Credit Bureau,JCB,3586051438677832,Samantha J Boyer,071,12/2007,12/2027,22,7794,12400
Master Card,Citibank,5333756665808725,Shanna Dickerson,911,12/2014,12/2032,4,1169,115300
Discover,Discover,6011335597130941,Vincent C Hudson,821,05/2011,05/2029,26,9132,128600
Master Card,Chase,5234242534772368,Devin Knowles,896,10/2014,10/2017,28,5348,13800
American Express,American Express,344453151040595,Charles J Greer,4272,08/2017,08/2024,25,3262,191300
Diners Club International,Diners Club,30416400792695,Glennie Higa,379,06/2009,06/2013,19,9209,195600
Discover,Discover,6444925693778044,Larry Richmond,738,11/2015,11/2016,24,4177,176200
Diners Club International,Diners Club,30338028559720,Ginette Nimmons,063,01/2014,01/2029,23,5228,194100
Visa,Chase,4504774949979069,Wesley Wilson,378,10/2008,10/2015,24,1087,59400
Japan Credit Bureau,JCB,3550474515909674,Gregg L Sanderson,145,06/2017,06/2022,15,5844,172000
Diners Club International,Diners Club,30949549089557,Mary Q Mcfadden,708,11/2008,11/2025,6,6440,31200
American Express,American Express,375543855883712,Wilson V Hensel,7931,09/2017,09/2025,12,4425,183700
Japan Credit Bureau,JCB,3529745437128180,Marjorie E Ellison,442,01/2017,01/2022,12,8029,143900
Visa,Chase,4271860152906518,Stacy F Burkholder,582,07/2008,07/2026,2,3918,186100
Master Card,Chase,5280487246424591,Brittany K Burch,132,11/2008,11/2010,1,8021,183500
Master Card,Citibank,5155504073739826,Everette Flake,601,07/2017,07/2025,19,4772,140200
American Express,American Express,340904153636883,Clifford Y Crosby,0363,11/2014,11/2021,17,4217,31300
Visa,Chase,4555554898530990,Daniela P Mclaurin,479,02/2009,02/2025,23,6166,160000
Discover,Discover,6011563979689602,Zachary Ford,567,03/2008,03/2028,9,1340,71300
Discover,Discover,6011371835853820,Trevor P Kurth,797,09/2014,09/2018,22,7133,145900
Master Card,Chase,5354076808379987,Carrie Barnett,633,10/2013,10/2032,22,2683,104700
